nb_cycle_retour,moy_cycle_retour,d_eau,propor_utilisa_retour
53,22,20.0,42.54385964912281
51,21,20.0,44.005847953216374
64,23,20.0,55.11695906432749
64,23,20.0,55.11695906432749
51,21,20.0,44.005847953216374
64,23,20.0,55.11695906432749
51,21,20.0,44.07894736842105
52,21,20.0,44.07894736842105
65,23,20.0,55.11695906432749
65,23,20.0,55.11695906432749
52,21,20.0,44.15204678362573
65,23,20.0,55.11695906432749
52,21,20.0,44.15204678362573
52,21,20.0,44.15204678362573
65,23,20.0,55.11695906432749
66,23,20.0,55.11695906432749
53,21,20.0,44.22514619883041
66,23,20.0,55.11695906432749
53,21,20.0,44.22514619883041
66,23,20.0,55.11695906432749
53,21,20.0,44.29824561403509
66,23,20.0,55.11695906432749
53,21,20.0,44.37134502923977
67,23,20.0,55.11695906432749
