nb_cycle_retour,moy_cycle_retour,d_veg,propor_utilisa_retour
55,24,15.0,51.68128654970761
35,23,15.0,52.19298245614035
36,23,15.0,52.19298245614035
36,23,15.0,52.19298245614035
47,28,20.0,52.26608187134503
47,28,20.0,52.26608187134503
47,28,20.0,52.26608187134503
47,28,20.0,52.26608187134503
0,0,20.0,50.950292397660824
45,28,20.0,50.950292397660824
45,28,20.0,50.950292397660824
45,28,20.0,50.950292397660824
45,28,20.0,50.950292397660824
46,28,20.0,50.950292397660824
46,28,20.0,50.950292397660824
46,28,20.0,50.950292397660824
46,28,20.0,50.950292397660824
47,28,20.0,50.950292397660824
47,28,20.0,50.950292397660824
47,28,20.0,50.950292397660824
47,28,20.0,50.950292397660824
48,28,20.0,50.950292397660824
48,28,20.0,50.950292397660824
48,28,20.0,50.950292397660824
48,28,20.0,50.950292397660824
49,28,20.0,50.950292397660824
51,28,20.0,53.3625730994152
49,28,20.0,50.950292397660824
52,28,20.0,53.3625730994152
49,28,20.0,50.950292397660824
52,28,20.0,53.3625730994152
49,28,20.0,50.950292397660824
52,28,20.0,53.3625730994152
50,28,20.0,50.950292397660824
50,28,20.0,50.950292397660824
52,28,20.0,53.3625730994152
50,28,20.0,50.950292397660824
50,28,20.0,54.09356725146199
50,28,20.0,50.950292397660824
50,28,20.0,54.09356725146199
42,28,20.0,52.26608187134503
42,28,20.0,52.26608187134503
42,28,20.0,52.26608187134503
43,28,20.0,52.26608187134503
43,28,20.0,52.26608187134503
43,28,20.0,52.26608187134503
43,28,20.0,52.26608187134503
44,28,20.0,52.26608187134503
44,28,20.0,52.26608187134503
44,28,20.0,52.26608187134503
44,28,20.0,52.26608187134503
45,28,20.0,52.26608187134503
45,28,20.0,52.26608187134503
45,28,20.0,52.26608187134503
48,29,20.0,51.461988304093566
45,28,20.0,52.26608187134503
46,28,20.0,52.26608187134503
0,0,20.0,0.0
0,0,20.0,0.0
45,28,20.0,52.77777777777778
46,28,20.0,52.77777777777778
46,28,20.0,52.77777777777778
46,28,20.0,52.77777777777778
46,28,20.0,52.77777777777778
47,28,20.0,52.77777777777778
47,28,20.0,52.77777777777778
47,28,20.0,52.77777777777778
47,28,20.0,52.77777777777778
48,28,20.0,52.77777777777778
48,28,20.0,52.77777777777778
48,28,20.0,52.77777777777778
48,28,20.0,52.77777777777778
49,28,20.0,52.77777777777778
49,28,20.0,52.77777777777778
0,0,20.0,0.0
0,0,20.0,0.0
44,28,20.0,52.7046783625731
45,28,20.0,52.7046783625731
45,28,20.0,52.7046783625731
45,28,20.0,52.7046783625731
45,28,20.0,52.7046783625731
42,27,20.0,54.312865497076025
46,28,20.0,52.7046783625731
46,28,20.0,52.7046783625731
46,28,20.0,52.7046783625731
44,27,20.0,53.143274853801174
44,27,20.0,53.143274853801174
44,27,20.0,53.143274853801174
44,27,20.0,53.143274853801174
45,27,20.0,53.143274853801174
45,27,20.0,53.143274853801174
45,27,20.0,53.143274853801174
0,0,20.0,53.3625730994152
49,28,20.0,53.07017543859649
50,28,20.0,53.07017543859649
50,28,20.0,53.07017543859649
50,28,20.0,53.07017543859649
50,28,20.0,53.07017543859649
0,0,20.0,53.87426900584795
48,28,20.0,53.87426900584795
48,28,20.0,53.87426900584795
49,28,20.0,53.87426900584795
49,28,20.0,53.87426900584795
49,28,20.0,53.87426900584795
49,28,20.0,53.87426900584795
50,28,20.0,53.87426900584795
50,28,20.0,53.87426900584795
50,28,20.0,53.87426900584795
50,28,20.0,53.87426900584795
51,28,20.0,53.87426900584795
44,27,20.0,52.63157894736842
44,27,20.0,52.63157894736842
44,27,20.0,52.63157894736842
44,27,20.0,52.63157894736842
45,27,20.0,52.63157894736842
45,27,20.0,52.63157894736842
45,27,20.0,52.63157894736842
45,27,20.0,52.63157894736842
46,27,20.0,52.63157894736842
46,27,20.0,52.63157894736842
46,27,20.0,52.63157894736842
46,27,20.0,52.63157894736842
47,27,20.0,52.63157894736842
47,27,20.0,52.63157894736842
47,27,20.0,52.63157894736842
47,27,20.0,52.63157894736842
48,27,20.0,52.63157894736842
48,27,20.0,52.63157894736842
48,27,20.0,52.63157894736842
48,27,20.0,52.63157894736842
0,0,20.0,0.0
0,0,20.0,0.0
47,28,25.0,52.26608187134503
47,28,25.0,52.26608187134503
47,28,25.0,52.26608187134503
47,28,25.0,52.26608187134503
0,0,25.0,50.950292397660824
45,28,25.0,50.950292397660824
45,28,25.0,50.950292397660824
45,28,25.0,50.950292397660824
45,28,25.0,50.950292397660824
46,28,25.0,50.950292397660824
46,28,25.0,50.950292397660824
46,28,25.0,50.950292397660824
46,28,25.0,50.950292397660824
47,28,25.0,50.950292397660824
47,28,25.0,50.950292397660824
47,28,25.0,50.950292397660824
47,28,25.0,50.950292397660824
48,28,25.0,50.950292397660824
48,28,25.0,50.950292397660824
48,28,25.0,50.950292397660824
48,28,25.0,50.950292397660824
49,28,25.0,50.950292397660824
51,28,25.0,53.3625730994152
52,28,25.0,53.3625730994152
49,28,25.0,50.950292397660824
52,28,25.0,53.3625730994152
49,28,25.0,50.950292397660824
52,28,25.0,53.3625730994152
49,28,25.0,50.950292397660824
52,28,25.0,53.3625730994152
50,28,25.0,50.950292397660824
50,28,25.0,50.950292397660824
50,28,25.0,50.950292397660824
50,28,25.0,50.950292397660824
50,28,25.0,54.09356725146199
50,28,25.0,54.09356725146199
48,29,25.0,51.461988304093566
0,0,20.0,0.0
0,0,20.0,0.0
42,28,25.0,52.26608187134503
42,28,25.0,52.26608187134503
42,28,25.0,52.26608187134503
43,28,25.0,52.26608187134503
43,28,25.0,52.26608187134503
43,28,25.0,52.26608187134503
43,28,25.0,52.26608187134503
44,28,25.0,52.26608187134503
44,28,25.0,52.26608187134503
44,28,25.0,52.26608187134503
44,28,25.0,52.26608187134503
45,28,25.0,52.26608187134503
45,28,25.0,52.26608187134503
45,28,25.0,52.26608187134503
45,28,25.0,52.26608187134503
46,28,25.0,52.26608187134503
0,0,25.0,0.0
0,0,25.0,0.0
45,28,25.0,52.77777777777778
46,28,25.0,52.77777777777778
46,28,25.0,52.77777777777778
46,28,25.0,52.77777777777778
46,28,25.0,52.77777777777778
47,28,25.0,52.77777777777778
47,28,25.0,52.77777777777778
47,28,25.0,52.77777777777778
47,28,25.0,52.77777777777778
48,28,25.0,52.77777777777778
48,28,25.0,52.77777777777778
48,28,25.0,52.77777777777778
48,28,25.0,52.77777777777778
49,28,25.0,52.77777777777778
49,28,25.0,52.77777777777778
44,28,25.0,52.7046783625731
45,28,25.0,52.7046783625731
42,27,25.0,54.312865497076025
45,28,25.0,52.7046783625731
45,28,25.0,52.7046783625731
45,28,25.0,52.7046783625731
46,28,25.0,52.7046783625731
46,28,25.0,52.7046783625731
46,28,25.0,52.7046783625731
49,28,25.0,53.07017543859649
50,28,25.0,53.07017543859649
50,28,25.0,53.07017543859649
50,28,25.0,53.07017543859649
50,28,25.0,53.07017543859649
44,27,25.0,53.143274853801174
44,27,25.0,53.143274853801174
44,27,25.0,53.143274853801174
44,27,25.0,53.143274853801174
45,27,25.0,53.143274853801174
45,27,25.0,53.143274853801174
45,27,25.0,53.143274853801174
0,0,25.0,53.87426900584795
48,28,25.0,53.87426900584795
48,28,25.0,53.87426900584795
49,28,25.0,53.87426900584795
49,28,25.0,53.87426900584795
49,28,25.0,53.87426900584795
49,28,25.0,53.87426900584795
50,28,25.0,53.87426900584795
50,28,25.0,53.87426900584795
50,28,25.0,53.87426900584795
50,28,25.0,53.87426900584795
51,28,25.0,53.87426900584795
0,0,25.0,53.3625730994152
44,27,25.0,52.63157894736842
44,27,25.0,52.63157894736842
44,27,25.0,52.63157894736842
44,27,25.0,52.63157894736842
45,27,25.0,52.63157894736842
45,27,25.0,52.63157894736842
45,27,25.0,52.63157894736842
45,27,25.0,52.63157894736842
46,27,25.0,52.63157894736842
46,27,25.0,52.63157894736842
46,27,25.0,52.63157894736842
46,27,25.0,52.63157894736842
47,27,25.0,52.63157894736842
47,27,25.0,52.63157894736842
47,27,25.0,52.63157894736842
47,27,25.0,52.63157894736842
48,27,25.0,52.63157894736842
48,27,25.0,52.63157894736842
48,27,25.0,52.63157894736842
0,0,25.0,0.0
48,27,25.0,52.63157894736842
0,0,25.0,0.0
0,0,25.0,0.0
0,0,25.0,0.0
0,0,25.0,0.0
0,0,25.0,0.0
