grid_x,grid_y,nb_trp_inside,impact_trp_aller,s_nb_trp_inside,impact_trp_aller
9,0,1,0.0000415212,7,0.0000415212
14,7,2,0.0,65,0.0
4,1,2,0.0000274853,8,0.0000274853
15,7,1,0.0,71,0.0
12,0,4,0.0000142532,15,0.0000142532
16,7,1,0.0,56,0.0
29,11,1,0.0000401524,8,0.0000401524
17,7,1,0.0,7,0.0
26,9,1,0.0000563611,92,0.0000563611
18,7,1,0.0,64,0.0
13,1,1,0.0000577517,19,0.0000577517
19,7,1,0.0,77,0.0
27,6,2,0.0,10,0.0
20,7,1,0.0,146,0.0
28,6,1,0.0000181548,9,0.0000181548
21,7,1,0.0,35,0.0
29,6,1,0.0,2,0.0
22,7,1,0.0,62,0.0
30,6,1,0.0,3,0.0
31,6,0,0.0,0,0.0
29,13,1,0.000033237,109,0.000033237
32,6,0,0.0,0,0.0
13,2,1,0.0000166968,46,0.0000166968
33,6,0,0.0,0,0.0
26,5,1,0.0000163748,7,0.0000163748
34,6,0,0.0,0,0.0
26,7,2,0.0000536012,8,0.0000536012
35,6,0,0.0,0,0.0
16,1,1,0.000014492,5,0.000014492
0,7,0,0.0,0,0.0
22,4,1,0.0000069135,20,0.0000069135
1,7,0,0.0,0,0.0
27,10,1,0.0000329229,22,0.0000329229
2,7,0,0.0,0,0.0
9,0,1,0.0000660688,3,0.0000660688
3,7,0,0.0,0,0.0
31,7,1,0.0,2,0.0
4,7,2,0.0,19,0.0
32,7,0,0.0,0,0.0
5,7,1,0.0,23,0.0
33,7,0,0.0,0,0.0
6,7,1,0.0,1,0.0
34,7,0,0.0,0,0.0
7,7,0,0.0,0,0.0
35,7,0,0.0,0,0.0
8,7,1,0.0,72,0.0
0,8,0,0.0,0,0.0
9,7,1,0.0,11,0.0
1,8,0,0.0,0,0.0
10,7,1,0.0,3,0.0
2,8,0,0.0,0,0.0
11,7,0,0.0,0,0.0
3,8,0,0.0,0,0.0
12,7,1,0.0,232,0.0
4,8,0,0.0,0,0.0
13,7,1,0.0,45,0.0
5,8,1,0.0,22,0.0
