nb_cycle_retour,moy_cycle_retour,d_eau,propor_utilisa_retour
34,19,10.0,58.69883040935673
36,19,10.0,58.77192982456141
36,19,10.0,58.77192982456141
42,24,15.0,59.50292397660819
42,24,15.0,59.50292397660819
0,0,15.0,0.0
40,24,15.0,59.72222222222222
42,24,15.0,59.50292397660819
43,24,15.0,59.50292397660819
43,24,15.0,59.50292397660819
43,24,15.0,59.50292397660819
43,24,15.0,59.50292397660819
44,24,15.0,59.50292397660819
42,24,15.0,59.57602339181286
44,24,15.0,59.50292397660819
41,24,15.0,59.356725146198826
41,24,15.0,59.356725146198826
41,24,15.0,59.57602339181286
0,0,15.0,0.0
40,23,15.0,59.356725146198826
41,24,15.0,59.57602339181286
41,24,15.0,59.57602339181286
41,23,15.0,59.356725146198826
42,24,15.0,59.57602339181286
41,23,15.0,59.356725146198826
42,24,15.0,59.57602339181286
41,23,15.0,59.356725146198826
41,23,15.0,59.356725146198826
42,24,15.0,59.42982456140351
42,24,15.0,59.42982456140351
42,24,15.0,59.42982456140351
43,24,15.0,59.42982456140351
43,24,15.0,59.86842105263158
43,24,15.0,59.42982456140351
